temperature,rpm,carbon_pct,silicon_pct,cooling_time,mold_type,metal_flow_rate,quality_score,reject
1413.7,1382,3.341,1.712,38.0,Sand,1.24,70.85,0
1511.6,722,3.072,2.356,32.4,Permanent,0.77,44.93,1
1474.4,720,3.41,1.778,120.5,Die,1.54,60.32,1
1451.8,991,3.311,1.918,45.0,Sand,0.73,82.46,0
1376.5,1140,3.677,1.828,111.2,Permanent,2.37,65.93,0
1376.5,1393,3.606,1.774,82.2,Die,0.87,63.33,1
1359.9,1315,3.365,2.739,33.2,Sand,1.01,46.95,1
1497.2,1101,3.218,1.929,125.3,Permanent,1.31,69.05,0
1452.2,946,3.988,2.891,50.9,Sand,1.27,69.21,0
1470.4,1597,3.454,2.955,115.3,Permanent,2.09,48.83,1
1353.5,1084,3.688,2.357,42.7,Die,1.41,70.61,0
1514.9,1106,3.141,1.715,114.7,Die,0.84,50.42,1
1491.5,847,3.486,2.062,26.4,Die,1.03,60.6,1
1386.1,1415,3.028,2.697,78.7,Sand,1.52,69.43,0
1380.9,1324,3.505,2.051,105.8,Permanent,0.79,67.28,0
1381.2,899,3.964,1.631,123.2,Sand,1.72,59.19,1
1401.7,774,3.384,2.335,120.5,Permanent,1.63,63.53,1
1439.2,1312,3.039,2.768,111.1,Sand,1.93,68.31,0
1423.4,1289,3.031,2.694,118.3,Sand,2.38,66.35,0
1399.5,946,3.388,1.763,45.9,Permanent,2.32,70.3,0
1454.0,1556,3.16,2.509,54.8,Permanent,2.39,55.16,1
1373.7,836,3.023,1.831,55.3,Die,0.99,57.9,1
1399.7,1089,3.756,1.827,64.6,Die,0.76,83.29,0
1412.3,1549,3.459,2.811,66.3,Permanent,1.1,62.46,1
1427.5,1078,3.289,1.875,82.2,Permanent,2.29,88.14,0
1483.5,1275,3.9,1.895,41.8,Permanent,2.44,60.43,1
1383.9,1058,3.116,1.501,97.6,Die,2.22,64.98,1
1437.4,947,3.956,2.806,42.6,Permanent,0.72,78.66,0
1450.7,1586,3.314,2.689,57.6,Sand,2.39,51.65,1
1357.9,1068,3.888,2.441,77.9,Permanent,1.35,74.12,0
1453.3,1505,3.603,2.625,108.6,Sand,0.52,52.83,1
1379.0,907,3.827,1.728,102.6,Permanent,1.38,74.35,0
1361.1,892,3.984,2.187,92.8,Sand,0.59,61.64,1
1511.3,728,3.288,2.027,41.4,Permanent,1.59,47.81,1
1514.2,1287,3.961,1.641,82.4,Sand,1.18,58.23,1
1487.4,1032,3.389,2.229,34.2,Permanent,1.45,75.63,0
1401.8,1478,3.386,2.881,64.6,Sand,1.73,65.64,0
1366.6,1126,3.34,1.56,68.4,Die,2.24,70.54,0
1466.3,1571,3.541,1.937,29.2,Permanent,1.82,52.61,1
1424.8,867,3.154,1.811,53.8,Die,1.37,78.14,0
1370.7,1482,3.554,1.857,125.3,Sand,2.14,48.34,1
1434.2,1399,3.542,2.863,125.1,Permanent,2.31,73.32,0
1355.8,1394,3.762,2.202,62.0,Permanent,0.74,56.18,1
1504.6,1460,3.834,2.199,29.5,Permanent,1.56,58.22,1
1394.0,1385,3.44,2.641,43.8,Sand,1.07,65.16,0
1462.6,1264,3.302,1.732,66.2,Sand,0.59,69.94,0
1403.0,818,3.259,2.231,124.5,Permanent,1.84,73.06,0
1438.4,729,3.195,2.145,39.8,Sand,2.23,60.92,1
1442.9,1529,3.058,2.395,105.2,Die,0.83,63.47,1
1381.4,1255,3.342,2.999,36.4,Die,2.12,52.57,1
1514.8,1417,3.27,2.654,128.0,Sand,2.21,38.94,1
1481.8,1133,3.966,2.097,65.1,Die,2.33,68.88,0
1509.7,806,3.558,2.741,106.4,Sand,1.03,45.48,1
1502.1,813,3.347,1.756,61.0,Permanent,2.31,55.16,1
1451.6,1317,3.58,1.546,90.9,Die,1.14,72.87,0
1506.7,1087,3.139,1.807,45.2,Permanent,1.6,70.09,0
1365.0,880,3.444,2.011,40.3,Permanent,0.6,64.2,1
1383.3,1142,3.626,2.266,123.5,Permanent,0.59,72.83,0
1357.7,758,3.489,2.423,121.4,Die,1.94,56.63,1
1405.3,1224,3.402,2.866,118.2,Die,1.39,75.22,0
1416.1,942,3.994,2.265,90.7,Permanent,1.01,85.29,0
1396.1,1418,3.88,2.252,109.9,Permanent,0.88,69.04,0
1490.9,979,3.623,1.575,32.2,Permanent,1.84,62.99,1
1410.6,1110,3.569,1.552,60.2,Sand,0.5,76.86,0
1397.8,710,3.621,2.327,57.9,Permanent,2.11,65.76,0
1442.3,765,3.201,2.157,91.7,Sand,0.66,65.01,0
1374.0,1053,3.395,2.759,62.4,Permanent,0.88,74.94,0
1486.4,1132,3.039,1.741,40.6,Permanent,1.27,69.18,0
1362.7,1240,3.476,1.537,87.6,Permanent,1.47,73.43,0
1517.8,962,3.543,2.174,110.5,Permanent,1.21,63.61,1
1481.3,1325,3.228,1.856,65.1,Die,1.14,65.44,0
1383.8,1474,3.964,1.574,38.9,Permanent,2.43,51.1,1
1350.9,1402,3.909,2.587,45.7,Permanent,1.78,52.35,1
1488.6,736,3.722,1.667,49.9,Permanent,0.55,47.41,1
1470.2,1132,3.533,2.412,56.5,Permanent,1.36,77.01,0
1473.9,794,3.87,1.922,92.5,Permanent,2.25,58.09,1
1481.1,918,3.131,1.76,88.1,Permanent,1.1,68.08,0
1362.6,1588,3.791,2.07,98.1,Sand,0.69,43.69,1
1410.9,828,3.125,2.702,63.1,Sand,2.02,68.19,0
1369.7,1149,3.794,2.088,111.5,Permanent,1.71,75.81,0
1496.7,1256,3.276,2.626,46.4,Permanent,1.64,67.04,0
1456.0,1332,3.877,1.688,74.2,Die,0.61,63.09,1
1406.3,1204,3.944,2.659,109.1,Permanent,0.78,77.96,0
1360.8,709,3.149,1.855,43.9,Permanent,1.75,56.92,1
1402.9,994,3.463,2.516,36.5,Permanent,0.92,74.68,0
1405.3,1166,3.981,2.349,117.8,Permanent,1.51,76.98,0
1474.0,779,3.483,2.894,61.0,Sand,1.59,66.86,0
1458.4,1016,3.864,2.081,96.8,Permanent,1.07,77.7,0
1500.8,730,3.589,1.599,27.7,Sand,2.4,33.08,1
1430.3,771,3.375,1.529,97.5,Permanent,2.18,63.44,1
1370.3,1057,3.286,2.74,58.2,Permanent,1.94,73.47,0
1471.3,819,3.203,2.287,30.9,Sand,0.66,53.66,1
1479.3,1211,3.762,2.663,89.0,Permanent,0.71,68.49,0
1445.4,1321,3.387,1.852,50.3,Sand,1.49,74.13,0
1481.1,1421,3.511,2.018,65.6,Permanent,0.82,71.27,0
1433.9,880,3.492,1.545,33.5,Sand,2.46,66.21,0
1438.9,851,3.577,2.942,40.5,Permanent,0.82,73.88,0
1422.7,794,3.866,2.502,56.3,Die,1.47,80.94,0
1354.3,1273,3.981,2.9,34.4,Permanent,1.23,61.5,1
1368.3,1336,3.408,1.898,120.6,Die,1.78,62.45,1
1355.3,728,3.828,2.417,25.6,Permanent,0.76,40.96,1
1458.2,1543,3.765,2.518,75.8,Sand,1.36,64.72,1
1403.4,747,3.574,1.976,37.9,Permanent,1.05,71.6,0
1436.5,1187,3.956,2.772,57.3,Die,2.28,76.2,0
1504.3,1338,3.2,2.921,122.2,Permanent,0.58,54.85,1
1392.4,1484,3.109,2.827,42.0,Permanent,2.33,58.55,1
1419.8,1343,3.854,2.609,126.4,Permanent,2.17,71.41,0
1478.4,1422,3.439,1.916,46.6,Permanent,1.1,66.7,0
1388.9,1006,3.847,1.922,102.9,Permanent,2.08,75.23,0
1363.1,1433,3.893,2.945,82.4,Die,0.56,41.7,1
1399.3,772,3.062,1.515,117.9,Die,2.43,51.69,1
1377.4,1505,3.883,2.574,83.2,Permanent,1.55,66.05,0
1508.0,1193,3.448,2.559,81.1,Die,1.11,66.08,0
