pour_temp,spin_rpm,carbon_pct,silicon_pct,cooling_sec,flow_rate,mold_type,quality_score,reject
1411.2,1497,3.597,1.518,53.9,0.75,Die,62.58,1
1520.6,1145,3.532,2.396,75.0,0.61,Permanent,63.38,1
1479.1,845,3.321,2.758,31.9,0.7,Permanent,62.16,1
1453.7,1387,3.492,2.7,73.6,1.44,Sand,65.74,0
1369.6,1069,3.338,2.824,44.4,2.35,Permanent,81.82,0
1369.6,1245,3.69,3.065,53.3,1.08,Sand,67.72,0
1351.0,757,3.902,3.093,77.4,1.37,Permanent,54.33,1
1504.6,1282,3.844,2.098,126.4,0.47,Sand,43.29,1
1454.2,1024,3.309,2.254,89.4,1.72,Permanent,81.71,0
1474.5,984,3.511,2.247,22.1,1.15,Permanent,69.44,0
1343.9,1630,2.913,2.491,37.2,1.87,Permanent,36.47,1
1524.3,1082,3.944,1.818,27.6,1.66,Permanent,55.5,1
1498.2,1328,3.194,2.713,42.4,2.0,Die,54.41,1
1380.3,1278,3.429,1.615,61.2,2.1,Sand,56.05,1
1374.5,754,3.083,3.017,41.0,0.93,Permanent,52.16,1
1374.8,1398,3.714,1.612,75.4,1.52,Die,68.31,0
1397.8,973,3.554,2.663,118.9,1.63,Permanent,74.58,0
1439.7,1449,3.338,2.075,119.1,1.36,Permanent,67.02,0
1422.1,1258,3.542,2.478,60.8,1.25,Permanent,86.54,0
1395.3,967,3.102,1.934,59.2,2.48,Permanent,74.87,0
1456.3,1006,3.831,1.603,109.5,0.64,Permanent,79.31,0
1366.5,1382,3.219,2.995,69.8,0.67,Sand,49.76,1
1395.5,1200,3.638,2.267,136.4,1.76,Permanent,73.65,0
1409.6,1318,3.979,1.911,73.4,0.94,Permanent,82.66,0
1426.7,808,2.946,2.462,49.2,2.6,Permanent,70.3,0
1489.2,1437,3.365,1.838,21.2,0.58,Permanent,43.63,1
1377.9,970,3.062,1.469,134.5,2.03,Die,52.37,1
1437.7,1270,3.99,2.749,34.2,1.98,Sand,60.62,1
1452.6,765,3.332,3.093,41.0,2.01,Permanent,65.61,0
1348.8,971,3.156,3.026,24.6,1.88,Die,63.67,1
1455.4,1299,3.712,2.896,75.8,0.57,Sand,60.41,1
1372.4,924,3.552,2.671,69.0,1.12,Sand,64.5,1
1352.4,1530,3.88,1.675,117.9,0.63,Permanent,42.86,1
1520.3,1311,3.804,1.665,86.6,1.85,Die,55.67,1
1523.5,1520,4.07,1.654,89.9,0.89,Die,38.24,1
1493.6,1045,3.009,2.181,114.8,1.61,Permanent,58.95,1
1397.9,684,2.996,2.209,90.0,2.58,Die,47.63,1
1358.6,1226,3.989,2.382,87.8,0.59,Die,55.46,1
1470.0,989,4.047,1.785,131.4,2.44,Die,56.48,1
1423.6,1098,3.388,1.468,72.4,1.41,Permanent,92.54,0
1363.2,1331,3.447,1.571,96.1,1.63,Permanent,66.5,0
