carbon_pct,silicon_pct,manganese_pct,phosphorus_pct,magnesium_added_pct,treatment_time_min,rpm,mold_diameter_m,pour_temp_c,mold_preheat_c,wall_thickness_mm,mold_type,mold_enc,carbon_equivalent,liquidus_temp_c,superheat_c,G_factor,Mg_effective_pct,nodularity_index,solidification_time_s,cooling_rate_cs,quality_score,reject
3.546,1.732,0.365,0.0832,0.0358,15.1,546,0.11,1525.9,78.6,40.4,Die,2,4.151,1436.9,89.1,36.73,0.0265,0.336,130.73,11.07,83.15,0
3.605,2.25,0.27,0.0424,0.072,6.0,508,0.087,1546.1,181.6,55.6,Sand,1,4.3697,1431.0,115.1,25.13,0.0638,0.728,464.19,2.94,98.9,0
3.577,2.047,0.411,0.0105,0.0526,3.8,584,0.156,1553.0,198.5,25.9,Die,2,4.2628,1433.5,119.6,59.49,0.04879,0.686,53.78,25.18,100.0,0
3.773,2.127,0.233,0.0405,0.0574,9.6,205,0.196,1601.2,94.0,42.8,Permanent,0,4.4956,1427.3,173.9,9.18,0.04737,0.478,183.09,8.23,75.3,0
3.297,3.028,0.247,0.0835,0.0562,10.1,216,0.112,1553.0,142.8,37.5,Die,2,4.3342,1433.5,119.6,5.84,0.04592,0.494,112.53,12.53,93.01,0
3.566,2.849,0.583,0.099,0.0412,5.6,583,0.162,1544.3,84.7,82.5,Sand,1,4.548,1427.4,117.0,61.68,0.03687,0.504,1021.84,1.43,96.5,0
3.487,2.53,0.365,0.0166,0.0506,6.8,865,0.148,1513.1,221.8,35.3,Die,2,4.3363,1432.1,81.0,123.73,0.04418,0.533,99.59,12.97,100.0,0
3.86,1.69,0.246,0.0816,0.0211,17.5,385,0.102,1593.0,156.7,78.8,Sand,1,4.4501,1428.4,164.6,16.8,0.01487,0.198,930.74,1.54,64.59,0
3.783,2.144,0.528,0.0226,0.0491,2.1,530,0.104,1525.4,247.1,21.9,Sand,1,4.505,1426.9,98.5,32.68,0.047,0.654,71.85,17.79,99.89,0
3.482,2.718,0.598,0.0213,0.0217,9.7,1366,0.195,1529.0,62.6,24.5,Permanent,0,4.3954,1430.8,98.2,407.27,0.01787,0.282,60.0,24.44,17.38,1
3.621,2.445,0.287,0.0207,0.0502,4.2,765,0.092,1526.2,237.0,42.9,Permanent,0,4.4431,1429.0,97.2,60.02,0.04613,0.646,183.81,7.01,100.0,0
3.549,2.087,0.258,0.0371,0.0737,6.9,663,0.117,1537.0,295.2,57.3,Die,2,4.2574,1433.9,103.1,57.67,0.06412,0.791,262.43,4.73,98.9,0
4.159,1.93,0.635,0.0774,0.0384,12.6,1119,0.239,1512.7,91.0,9.3,Permanent,0,4.8277,1418.1,94.5,334.17,0.02988,0.394,8.68,40.0,36.52,1
3.416,2.392,0.375,0.047,0.0578,5.3,877,0.155,1502.9,223.5,31.6,Permanent,0,4.2291,1435.2,67.7,132.99,0.05193,0.628,99.56,12.85,92.79,0
3.553,2.017,0.412,0.047,0.0577,5.1,798,0.167,1550.2,250.9,11.3,Sand,1,4.2411,1434.4,115.8,119.06,0.05208,0.666,19.13,40.0,97.41,0
3.548,2.43,0.539,0.0349,0.0481,4.9,569,0.17,1512.5,253.4,52.8,Sand,1,4.3692,1431.2,81.3,61.7,0.04365,0.564,417.69,3.01,100.0,0
3.436,2.605,0.341,0.0311,0.0499,5.6,525,0.125,1534.4,278.0,13.4,Permanent,0,4.3142,1433.0,101.4,38.53,0.04463,0.622,18.09,40.0,97.41,0
3.679,2.201,0.472,0.0316,0.0542,4.2,732,0.17,1537.7,177.8,46.0,Sand,1,4.4229,1429.4,108.3,101.98,0.04986,0.66,317.0,4.29,100.0,0
4.037,3.141,0.627,0.034,0.0355,12.4,310,0.184,1580.0,130.0,81.0,Permanent,0,5.0959,1411.8,168.2,19.8,0.02771,0.405,655.99,2.21,67.43,0
3.76,2.535,0.391,0.029,0.0735,4.1,865,0.117,1537.9,279.1,17.6,Permanent,0,4.6152,1424.4,113.5,98.25,0.06767,0.799,31.01,40.0,98.34,0
3.309,2.262,0.269,0.0365,0.0564,4.8,734,0.132,1524.3,177.7,21.8,Permanent,0,4.0753,1439.2,85.1,79.46,0.05126,0.662,47.57,28.31,100.0,0
3.351,1.907,0.519,0.0221,0.0694,3.2,668,0.116,1538.0,221.9,21.2,Permanent,0,3.9938,1440.9,97.1,57.93,0.06503,0.728,44.95,29.28,94.99,0
4.039,2.066,0.679,0.0227,0.0546,9.6,1103,0.184,1462.0,96.0,37.9,Permanent,0,4.735,1420.4,41.7,249.98,0.04506,0.457,143.56,9.52,54.29,1
3.68,2.354,0.457,0.0264,0.0535,3.4,580,0.17,1551.6,257.6,47.4,Permanent,0,4.4739,1428.1,123.4,63.93,0.05005,0.677,224.82,5.76,100.0,0
3.747,2.096,0.388,0.0211,0.0749,4.2,843,0.137,1504.9,183.8,58.7,Permanent,0,4.4526,1428.3,76.6,108.44,0.06886,0.739,344.06,3.84,97.0,0
3.346,2.388,0.332,0.0319,0.0621,7.3,683,0.133,1540.0,252.3,22.0,Permanent,0,4.1524,1437.2,102.8,69.37,0.05361,0.601,48.49,26.56,100.0,0
3.663,2.357,0.343,0.0483,0.0569,4.5,791,0.176,1547.8,165.1,49.2,Sand,1,4.465,1428.6,119.2,123.3,0.05204,0.68,362.57,3.81,100.0,0
4.187,2.397,0.688,0.0308,0.0352,8.6,1397,0.124,1457.7,125.2,73.9,Permanent,0,4.9958,1413.6,44.1,270.42,0.02962,0.41,546.78,2.44,50.4,1
3.163,1.639,0.553,0.0954,0.0487,7.7,1218,0.073,1607.6,149.6,34.5,Permanent,0,3.7412,1448.3,159.2,121.81,0.04174,0.49,119.19,12.23,76.56,0
3.638,2.377,0.433,0.0201,0.053,4.7,747,0.168,1500.5,252.3,55.0,Permanent,0,4.4372,1429.1,71.4,104.65,0.04825,0.606,302.59,4.13,100.0,0
3.556,2.698,0.506,0.0199,0.0427,2.7,719,0.122,1503.8,283.3,42.1,Permanent,0,4.4623,1428.8,75.0,70.67,0.04047,0.658,176.98,6.9,100.0,0
3.559,2.637,0.51,0.0278,0.0497,2.1,889,0.099,1536.8,271.4,58.1,Permanent,0,4.4475,1429.2,107.6,87.01,0.04762,0.67,338.13,3.74,100.0,0
3.772,1.654,0.731,0.0209,0.0432,9.0,576,0.229,1460.1,127.1,61.3,Permanent,0,4.3304,1431.1,29.0,84.67,0.03608,0.488,375.21,3.55,90.43,0
3.382,2.105,0.255,0.0376,0.0697,7.8,555,0.096,1553.5,188.1,18.0,Sand,1,4.0961,1438.5,115.0,33.06,0.05966,0.679,48.63,28.08,97.28,0
3.663,2.036,0.355,0.0436,0.0506,3.9,551,0.163,1506.3,169.1,36.6,Permanent,0,4.3563,1431.1,75.1,55.16,0.04688,0.692,133.77,10.0,98.92,0
3.947,2.857,0.326,0.0452,0.0275,16.3,1229,0.124,1465.8,105.9,56.1,Permanent,0,4.9146,1416.6,49.2,210.17,0.01985,0.244,314.23,4.33,49.37,1
3.255,3.01,0.651,0.0688,0.0288,10.8,1299,0.113,1519.6,120.7,40.9,Permanent,0,4.2819,1434.8,84.8,214.01,0.02326,0.364,167.06,8.37,65.84,0
3.239,2.181,0.409,0.0628,0.0502,16.5,1405,0.115,1601.4,113.8,81.1,Die,2,3.9867,1441.9,159.6,253.3,0.03609,0.289,525.73,2.83,51.77,1
3.326,1.95,0.317,0.024,0.0728,5.8,735,0.138,1517.6,174.2,36.3,Die,2,3.9843,1441.3,76.4,83.37,0.06484,0.743,105.39,12.75,94.67,0
3.467,2.029,0.31,0.0341,0.0476,4.4,576,0.103,1528.1,151.1,36.5,Sand,1,4.1549,1436.7,91.4,38.41,0.04359,0.59,199.74,6.89,100.0,0
3.571,2.405,0.278,0.0187,0.0409,6.8,568,0.178,1511.3,225.6,37.8,Die,2,4.3786,1430.8,80.6,64.1,0.03573,0.454,114.57,11.22,100.0,0
3.421,2.484,0.428,0.0349,0.0623,3.4,652,0.099,1522.7,239.6,38.6,Permanent,0,4.2609,1434.3,88.3,47.12,0.05818,0.673,149.18,8.6,100.0,0
3.703,2.065,0.322,0.0291,0.0485,6.7,721,0.158,1559.8,207.6,29.7,Permanent,0,4.4008,1429.8,130.0,91.84,0.04246,0.543,88.29,15.32,99.97,0
3.456,1.966,0.469,0.0481,0.0409,6.8,655,0.12,1517.1,199.2,34.5,Sand,1,4.1273,1437.5,79.6,57.58,0.03571,0.607,178.3,7.39,99.95,0
3.722,2.63,0.318,0.0435,0.0622,3.1,712,0.169,1541.3,221.8,39.2,Sand,1,4.6136,1424.7,116.6,95.82,0.05842,0.694,230.19,5.73,100.0,0
3.1,1.74,0.258,0.0219,0.0423,9.9,535,0.111,1521.3,63.9,53.5,Permanent,0,3.6871,1449.3,72.0,35.61,0.03474,0.454,286.08,5.09,82.76,0
3.822,2.104,0.338,0.0502,0.0289,12.1,262,0.1,1483.9,56.7,13.6,Permanent,0,4.5397,1426.2,57.7,7.69,0.02274,0.311,18.54,40.0,73.6,0
3.732,2.646,0.306,0.0102,0.0569,6.7,643,0.083,1540.6,292.7,49.3,Permanent,0,4.6171,1424.3,116.3,38.28,0.04971,0.635,242.77,5.14,99.92,0
3.537,2.029,0.313,0.0403,0.0473,4.6,598,0.093,1530.9,200.1,55.3,Sand,1,4.2272,1434.7,96.2,37.24,0.04309,0.667,458.87,2.9,100.0,0
3.34,1.975,0.503,0.0282,0.0658,6.6,860,0.172,1533.5,256.3,20.5,Sand,1,4.0078,1440.7,92.8,142.33,0.05762,0.594,63.25,20.19,91.56,0
3.679,2.046,0.398,0.0167,0.0535,3.0,709,0.138,1545.5,206.0,23.3,Die,2,4.3668,1430.6,114.9,77.8,0.05036,0.635,43.59,30.73,100.0,0
3.748,2.69,0.418,0.0387,0.0704,7.5,742,0.106,1513.1,199.8,38.9,Permanent,0,4.6579,1423.5,89.5,65.22,0.06053,0.748,151.13,8.69,100.0,0
3.598,2.36,0.463,0.0432,0.0654,5.5,554,0.08,1554.4,227.5,50.5,Die,2,4.3996,1430.4,124.0,27.51,0.05866,0.718,204.27,6.5,99.38,0
3.377,2.196,0.267,0.0487,0.0654,5.0,799,0.133,1542.9,182.4,12.6,Permanent,0,4.1258,1437.9,105.0,95.21,0.05915,0.694,15.85,40.0,99.61,0
3.377,3.169,0.778,0.0317,0.0345,7.8,434,0.233,1528.5,91.3,36.9,Sand,1,4.4436,1430.1,98.4,49.23,0.02953,0.418,204.45,7.03,95.23,0
3.788,2.676,0.524,0.0135,0.0622,4.8,820,0.158,1553.4,240.7,44.4,Permanent,0,4.6844,1422.5,130.9,118.66,0.05654,0.631,197.3,6.65,98.85,0
3.495,2.28,0.359,0.0173,0.0558,2.6,538,0.161,1512.9,195.0,47.3,Sand,1,4.2604,1433.9,79.0,52.22,0.05296,0.713,336.08,3.92,100.0,0
3.352,2.245,0.27,0.0306,0.0394,2.3,712,0.16,1526.3,254.9,12.1,Sand,1,4.1101,1438.2,88.1,90.69,0.03761,0.585,22.04,40.0,100.0,0
3.333,2.031,0.354,0.0926,0.0229,16.3,1152,0.235,1451.5,75.8,42.2,Sand,1,4.0405,1440.4,11.1,349.58,0.01651,0.204,267.16,5.15,5.02,1
3.419,2.15,0.433,0.0115,0.0424,4.1,544,0.082,1530.7,207.5,59.8,Sand,1,4.139,1437.1,93.6,27.08,0.03906,0.545,535.76,2.47,95.1,0
3.636,2.437,0.276,0.0344,0.0739,3.6,549,0.154,1517.5,164.9,41.2,Permanent,0,4.46,1428.7,88.8,51.87,0.06871,0.82,169.55,7.98,100.0,0
3.749,2.621,0.413,0.0436,0.07,6.0,782,0.155,1508.2,200.0,24.4,Sand,1,4.637,1424.1,84.1,106.11,0.06206,0.684,89.43,14.63,100.0,0
3.478,2.312,0.262,0.0201,0.0691,6.0,564,0.121,1553.0,218.7,53.3,Permanent,0,4.2553,1434.1,118.8,43.1,0.06129,0.69,284.39,4.69,100.0,0
3.411,2.022,0.388,0.0397,0.0533,5.0,505,0.173,1520.5,278.0,48.5,Die,2,4.0982,1438.3,82.2,49.32,0.04829,0.641,188.14,6.6,97.43,0
3.329,2.056,0.386,0.0468,0.0494,5.9,731,0.143,1544.6,167.4,30.9,Permanent,0,4.0296,1440.3,104.3,85.3,0.04391,0.562,95.78,14.38,99.73,0
3.48,2.508,0.425,0.0369,0.0469,3.6,842,0.097,1502.8,233.0,57.2,Sand,1,4.3285,1432.5,70.3,76.6,0.04361,0.612,490.74,2.59,100.0,0
3.799,2.267,0.49,0.0343,0.0555,4.2,734,0.091,1547.9,151.8,34.8,Die,2,4.566,1425.5,122.4,54.9,0.05102,0.644,96.95,14.4,100.0,0
3.319,2.353,0.348,0.0157,0.0741,3.9,815,0.121,1552.6,168.8,16.2,Sand,1,4.1089,1438.2,114.3,89.73,0.0685,0.823,39.39,35.13,97.06,0
3.314,1.436,0.497,0.0716,0.058,17.8,1367,0.133,1443.2,51.1,12.1,Permanent,0,3.816,1445.7,-2.6,277.83,0.04062,0.352,14.66,40.0,24.72,1
3.578,2.21,0.364,0.0128,0.0739,7.1,505,0.165,1536.7,252.5,50.2,Sand,1,4.3185,1432.1,104.6,47.0,0.06407,0.733,377.47,3.4,100.0,0
3.554,2.174,0.35,0.0386,0.0384,5.5,778,0.164,1546.5,197.8,21.4,Sand,1,4.2916,1433.1,113.4,111.02,0.03437,0.539,68.94,19.56,100.0,0
3.546,2.325,0.533,0.0442,0.05,7.2,576,0.108,1501.3,209.3,12.2,Permanent,0,4.3356,1432.1,69.2,40.0,0.04333,0.552,14.77,40.0,100.0,0
3.308,1.939,0.375,0.0168,0.0475,4.2,800,0.154,1521.6,191.1,40.3,Sand,1,3.9597,1441.9,79.8,110.37,0.04362,0.592,244.11,5.45,94.25,0
3.784,2.873,0.711,0.0265,0.0288,16.2,211,0.134,1459.5,139.5,48.4,Permanent,0,4.7506,1421.1,38.4,6.7,0.02084,0.221,233.98,5.64,69.27,0
3.894,2.635,0.513,0.0276,0.0324,6.4,220,0.065,1558.4,157.3,81.0,Sand,1,4.7812,1419.9,138.5,3.52,0.02846,0.439,985.06,1.42,76.14,0
3.403,2.672,0.306,0.0416,0.0668,2.7,696,0.088,1514.5,173.0,18.6,Permanent,0,4.3078,1433.3,81.1,47.59,0.06334,0.841,34.67,38.69,100.0,0
3.4,2.337,0.333,0.0208,0.0605,7.6,757,0.104,1525.3,272.2,26.6,Permanent,0,4.1864,1436.1,89.2,66.32,0.05201,0.661,70.94,17.66,100.0,0
3.996,1.724,0.654,0.0319,0.0575,9.9,1448,0.2,1592.5,130.5,19.4,Permanent,0,4.5815,1424.3,168.2,469.61,0.04721,0.565,37.52,38.97,13.5,1
3.762,2.613,0.49,0.0186,0.0411,4.8,694,0.101,1514.6,266.9,25.1,Die,2,4.6393,1423.8,90.9,54.26,0.03736,0.523,50.57,24.68,96.93,0
3.785,1.92,0.429,0.0324,0.0553,7.6,876,0.092,1532.3,236.0,35.2,Permanent,0,4.4358,1428.7,103.6,79.22,0.04743,0.633,123.62,10.49,100.0,0
3.134,1.879,0.27,0.0277,0.0537,9.6,417,0.091,1495.9,125.6,57.2,Permanent,0,3.7691,1447.2,48.7,17.66,0.04431,0.599,327.17,4.19,78.13,0
3.749,2.434,0.48,0.0291,0.0663,6.8,803,0.145,1534.4,282.6,39.9,Sand,1,4.5697,1425.6,108.9,104.38,0.05788,0.605,239.27,5.23,100.0,0
3.32,1.92,0.329,0.0382,0.0443,5.1,846,0.117,1550.5,230.3,41.0,Sand,1,3.9731,1441.7,108.8,93.52,0.04002,0.555,252.55,5.23,100.0,0
3.292,2.101,0.375,0.0461,0.0595,17.4,476,0.062,1583.7,120.9,43.5,Permanent,0,4.0075,1441.0,142.7,15.7,0.04205,0.398,189.01,7.74,85.52,0
3.362,2.451,0.378,0.0272,0.045,2.6,680,0.112,1502.6,289.0,59.1,Sand,1,4.1884,1436.2,66.4,57.95,0.04275,0.6,523.52,2.32,100.0,0
3.616,2.654,0.271,0.0301,0.0667,5.7,636,0.096,1532.1,180.6,36.2,Sand,1,4.5109,1427.5,104.5,43.28,0.05947,0.644,196.63,6.87,100.0,0
3.089,2.795,0.566,0.0911,0.02,15.9,1246,0.144,1470.9,97.3,83.4,Sand,1,4.0509,1441.2,29.8,250.28,0.01459,0.161,1042.59,1.32,37.67,1
3.947,1.455,0.625,0.0281,0.0496,5.9,1507,0.088,1556.0,90.0,60.3,Permanent,0,4.4418,1427.8,128.2,223.13,0.0441,0.635,363.36,4.03,75.02,0
3.62,1.902,0.242,0.0458,0.031,12.6,317,0.084,1584.8,105.2,36.1,Sand,1,4.2693,1433.4,151.4,9.44,0.02414,0.282,195.73,7.56,67.5,0
