date,predicted,lower,upper,actual,sector
2023-01-01,47.5,46.1,48.9,48.8,Hydraulics
2023-02-01,44.9,43.4,46.3,43.5,Hydraulics
2023-03-01,47.5,46.0,48.9,48.1,Hydraulics
2023-04-01,49.4,47.9,50.9,50.8,Hydraulics
2023-05-01,46.5,45.0,48.1,45.6,Hydraulics
2023-06-01,47.0,45.4,48.5,47.0,Hydraulics
2023-07-01,44.9,43.5,46.4,44.4,Hydraulics
2023-08-01,35.4,33.9,36.9,34.8,Hydraulics
2023-09-01,44.8,43.3,46.3,44.1,Hydraulics
2023-10-01,42.6,41.1,44.1,42.0,Hydraulics
2023-11-01,38.7,37.0,40.1,38.3,Hydraulics
2023-12-01,42.8,41.2,44.2,42.7,Hydraulics
2024-01-01,49.5,47.9,51.0,48.8,Hydraulics
2024-02-01,47.8,46.4,49.3,49.2,Hydraulics
2024-03-01,52.3,50.8,53.8,51.8,Hydraulics
2024-04-01,46.4,44.9,47.8,48.2,Hydraulics
2024-05-01,57.9,56.3,59.3,55.8,Hydraulics
2024-06-01,51.6,50.2,53.1,52.3,Hydraulics
2024-07-01,49.8,48.3,51.2,50.3,Hydraulics
2024-08-01,39.9,38.5,41.5,40.5,Hydraulics
2024-09-01,50.7,49.2,52.2,51.4,Hydraulics
2024-10-01,44.4,43.0,45.8,45.0,Hydraulics
2024-11-01,43.8,42.3,45.3,44.1,Hydraulics
2024-12-01,56.2,54.8,57.7,56.3,Hydraulics
2025-01-01,52.1,50.6,53.6,51.4,Hydraulics
2025-02-01,49.2,47.8,50.7,49.2,Hydraulics
2025-03-01,56.1,54.6,57.6,56.0,Hydraulics
2025-04-01,52.9,51.4,54.3,49.6,Hydraulics
2025-05-01,59.6,58.1,61.0,62.6,Hydraulics
2025-06-01,55.6,54.2,57.1,54.9,Hydraulics
2025-07-01,53.8,52.4,55.2,,Hydraulics
2025-08-01,44.2,42.6,45.7,,Hydraulics
2025-09-01,54.4,53.0,55.9,,Hydraulics
2025-10-01,49.5,47.9,51.0,,Hydraulics
2025-11-01,47.7,46.1,49.1,,Hydraulics
2025-12-01,57.2,55.7,58.7,,Hydraulics
2023-01-01,33.5,30.7,36.2,31.3,Wind Energy
2023-02-01,39.6,36.9,42.3,46.2,Wind Energy
2023-03-01,36.7,34.0,39.5,37.0,Wind Energy
2023-04-01,52.4,49.5,55.0,50.1,Wind Energy
2023-05-01,38.4,35.4,41.0,36.5,Wind Energy
2023-06-01,42.5,39.7,45.6,40.7,Wind Energy
2023-07-01,35.6,32.8,38.5,33.8,Wind Energy
2023-08-01,44.0,41.2,47.1,42.9,Wind Energy
2023-09-01,41.9,39.2,44.7,41.6,Wind Energy
2023-10-01,29.9,27.2,32.6,30.6,Wind Energy
2023-11-01,37.0,34.1,40.0,38.5,Wind Energy
2023-12-01,36.0,33.2,38.9,37.9,Wind Energy
2024-01-01,44.2,41.4,47.0,47.4,Wind Energy
2024-02-01,49.7,47.0,52.4,46.6,Wind Energy
2024-03-01,46.5,43.6,49.6,46.3,Wind Energy
2024-04-01,49.9,47.2,52.6,48.0,Wind Energy
2024-05-01,57.1,54.4,59.9,58.4,Wind Energy
2024-06-01,62.3,59.5,65.1,64.8,Wind Energy
2024-07-01,48.9,45.9,51.6,50.7,Wind Energy
2024-08-01,41.5,38.8,44.3,42.6,Wind Energy
2024-09-01,51.7,49.1,54.7,51.9,Wind Energy
2024-10-01,43.7,40.8,46.7,43.0,Wind Energy
2024-11-01,45.9,43.1,48.7,44.4,Wind Energy
2024-12-01,51.6,48.8,54.6,49.7,Wind Energy
2025-01-01,54.5,51.7,57.3,53.5,Wind Energy
2025-02-01,61.9,59.2,65.0,58.5,Wind Energy
2025-03-01,57.3,54.6,60.1,57.3,Wind Energy
2025-04-01,64.9,62.1,67.6,69.1,Wind Energy
2025-05-01,65.1,62.2,67.7,65.6,Wind Energy
2025-06-01,69.8,66.8,72.8,69.2,Wind Energy
2025-07-01,58.5,55.7,61.2,,Wind Energy
2025-08-01,56.4,53.7,59.2,,Wind Energy
2025-09-01,62.6,59.6,65.1,,Wind Energy
2025-10-01,53.3,50.6,56.0,,Wind Energy
2025-11-01,57.1,54.6,59.9,,Wind Energy
2025-12-01,60.5,57.8,63.6,,Wind Energy
2023-01-01,25.9,24.0,27.6,26.9,Locomotives
2023-02-01,27.8,25.9,29.8,24.5,Locomotives
2023-03-01,29.1,27.1,31.0,31.6,Locomotives
2023-04-01,37.3,35.4,39.2,37.7,Locomotives
2023-05-01,31.7,29.7,33.7,31.1,Locomotives
2023-06-01,28.9,27.0,31.0,28.3,Locomotives
2023-07-01,26.4,24.5,28.3,25.6,Locomotives
2023-08-01,25.0,23.1,26.9,24.2,Locomotives
2023-09-01,25.8,23.8,27.6,25.2,Locomotives
2023-10-01,22.5,20.8,24.2,22.3,Locomotives
2023-11-01,30.6,28.7,32.5,31.0,Locomotives
2023-12-01,26.5,24.5,28.4,27.4,Locomotives
2024-01-01,30.0,28.1,31.9,30.7,Locomotives
2024-02-01,33.0,31.1,35.0,36.9,Locomotives
2024-03-01,38.0,36.1,40.0,38.8,Locomotives
2024-04-01,35.8,34.0,37.9,34.4,Locomotives
2024-05-01,37.3,35.4,39.2,35.7,Locomotives
2024-06-01,35.6,33.7,37.4,35.6,Locomotives
2024-07-01,30.2,28.2,32.1,31.0,Locomotives
2024-08-01,23.7,21.7,25.5,24.5,Locomotives
2024-09-01,29.9,27.9,31.8,30.5,Locomotives
2024-10-01,30.7,28.7,32.8,30.9,Locomotives
2024-11-01,30.6,28.7,32.5,30.2,Locomotives
2024-12-01,28.8,26.9,30.6,27.8,Locomotives
2025-01-01,33.9,32.1,35.8,32.2,Locomotives
2025-02-01,33.8,31.9,35.6,33.2,Locomotives
2025-03-01,39.1,37.2,40.9,35.8,Locomotives
2025-04-01,40.3,38.3,42.1,41.3,Locomotives
2025-05-01,39.4,37.5,41.3,41.7,Locomotives
2025-06-01,37.2,35.4,39.1,37.8,Locomotives
2025-07-01,32.7,30.8,34.5,,Locomotives
2025-08-01,27.9,26.0,29.8,,Locomotives
2025-09-01,32.2,30.5,34.2,,Locomotives
2025-10-01,31.6,29.7,33.5,,Locomotives
2025-11-01,34.1,32.1,36.1,,Locomotives
2025-12-01,31.5,29.6,33.5,,Locomotives
2023-01-01,18.9,18.0,20.0,19.1,Pharma
2023-02-01,20.1,19.0,21.1,21.5,Pharma
2023-03-01,22.2,21.2,23.3,21.8,Pharma
2023-04-01,23.1,22.1,24.0,22.6,Pharma
2023-05-01,21.5,20.5,22.4,21.7,Pharma
2023-06-01,23.3,22.3,24.3,22.4,Pharma
2023-07-01,26.2,25.2,27.2,26.1,Pharma
2023-08-01,22.4,21.4,23.4,22.4,Pharma
2023-09-01,19.4,18.4,20.4,19.5,Pharma
2023-10-01,19.4,18.4,20.4,19.5,Pharma
2023-11-01,19.7,18.7,20.7,19.7,Pharma
2023-12-01,24.0,22.9,24.9,23.8,Pharma
2024-01-01,26.4,25.4,27.5,26.0,Pharma
2024-02-01,25.8,24.9,26.9,24.4,Pharma
2024-03-01,29.2,28.2,30.1,30.0,Pharma
2024-04-01,28.3,27.3,29.3,28.9,Pharma
2024-05-01,31.4,30.4,32.4,33.1,Pharma
2024-06-01,31.1,30.0,32.1,30.0,Pharma
2024-07-01,32.1,31.1,33.1,32.2,Pharma
2024-08-01,27.0,26.0,28.1,27.0,Pharma
2024-09-01,26.9,25.8,27.9,26.8,Pharma
2024-10-01,28.3,27.3,29.3,28.2,Pharma
2024-11-01,30.7,29.7,31.7,30.7,Pharma
2024-12-01,31.2,30.2,32.2,31.4,Pharma
2025-01-01,29.6,28.6,30.6,29.9,Pharma
2025-02-01,34.9,33.9,35.9,34.9,Pharma
2025-03-01,36.6,35.6,37.6,36.2,Pharma
2025-04-01,36.4,35.4,37.4,36.3,Pharma
2025-05-01,38.0,37.0,39.1,36.1,Pharma
2025-06-01,38.4,37.4,39.5,40.4,Pharma
2025-07-01,40.2,39.2,41.2,,Pharma
2025-08-01,35.6,34.5,36.5,,Pharma
2025-09-01,34.5,33.5,35.5,,Pharma
2025-10-01,35.4,34.4,36.5,,Pharma
2025-11-01,37.1,36.2,38.1,,Pharma
2025-12-01,38.9,38.0,39.9,,Pharma
2023-01-01,54.4,51.7,57.3,52.7,Heavy Engineering
2023-02-01,60.3,57.5,63.1,54.2,Heavy Engineering
2023-03-01,65.5,62.7,68.4,66.4,Heavy Engineering
2023-04-01,63.3,60.5,66.2,64.7,Heavy Engineering
2023-05-01,60.1,57.1,62.9,62.7,Heavy Engineering
2023-06-01,61.9,59.3,65.1,65.2,Heavy Engineering
2023-07-01,57.8,55.0,60.7,59.7,Heavy Engineering
2023-08-01,54.1,51.1,57.0,55.3,Heavy Engineering
2023-09-01,55.7,52.9,58.5,56.3,Heavy Engineering
2023-10-01,51.4,48.4,54.4,51.4,Heavy Engineering
2023-11-01,47.7,45.0,50.6,47.4,Heavy Engineering
2023-12-01,52.4,49.4,55.3,52.1,Heavy Engineering
2024-01-01,54.2,51.2,57.2,55.5,Heavy Engineering
2024-02-01,59.2,56.3,62.1,64.2,Heavy Engineering
2024-03-01,63.0,60.4,65.9,59.7,Heavy Engineering
2024-04-01,60.5,57.7,63.2,56.5,Heavy Engineering
2024-05-01,69.6,66.8,72.5,67.3,Heavy Engineering
2024-06-01,56.7,53.9,59.6,56.1,Heavy Engineering
2024-07-01,50.6,47.7,53.4,48.7,Heavy Engineering
2024-08-01,60.1,57.0,63.0,58.9,Heavy Engineering
2024-09-01,50.4,47.6,53.3,49.8,Heavy Engineering
2024-10-01,56.3,53.5,59.0,56.3,Heavy Engineering
2024-11-01,51.2,48.4,54.0,51.5,Heavy Engineering
2024-12-01,50.9,48.0,54.0,51.2,Heavy Engineering
2025-01-01,54.3,51.4,57.1,54.7,Heavy Engineering
2025-02-01,62.3,59.3,65.0,63.4,Heavy Engineering
2025-03-01,65.7,62.7,68.5,68.1,Heavy Engineering
2025-04-01,63.6,60.7,66.4,66.2,Heavy Engineering
2025-05-01,68.9,66.1,71.5,68.6,Heavy Engineering
2025-06-01,61.2,58.1,63.9,58.5,Heavy Engineering
2025-07-01,55.9,52.8,58.8,,Heavy Engineering
2025-08-01,61.1,58.0,64.0,,Heavy Engineering
2025-09-01,55.3,52.5,58.3,,Heavy Engineering
2025-10-01,57.9,55.1,60.7,,Heavy Engineering
2025-11-01,53.3,50.6,56.1,,Heavy Engineering
2025-12-01,54.8,52.1,57.8,,Heavy Engineering
